method,bits_per_key,incoming_attempts_per_second,backend_invocations_per_second,worker_utilization,p50_wait_ms,p95_wait_ms,p99_wait_ms,fraction_wait_gt_1s,valid_drop_rate_for_rate_limit_baselines,raw_invalid_forward_rate
TRAPS learned,16.0,675.0,54.19321530289995,0.8269207240031247,3.077083542821547,206.07406331038874,347.962863138724,1.1852728429277445e-05,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,675.0,54.09660765144998,0.8254466120015624,2.4754386198038234,203.75809884543847,344.44864073611575,1.0761236202307858e-05,0.0,0.0001555678767310421
Peppered tag,16.0,675.0,54.00947570800781,0.8241170874595642,1.9400027786781875,201.7011380717124,341.3281796736525,9.863277266741256e-06,0.0,1.5258789062499998e-05
Adaptive tag,16.0,675.0,54.00642822506143,0.8240705866791561,1.9213971152075873,201.62973254657564,341.2198686289781,9.833264851864135e-06,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,675.0,53.99791649780274,0.8239407083608477,1.8694739436738983,201.43048524056132,340.91764617204706,9.749921982447861e-06,0.0001,5.340576171874997e-06
Global Bloom,16.0,700.0,56.295363199085344,0.8589968732140435,18.77854488578755,267.95436877412845,442.12079547779314,9.699951557901353e-05,0.0,0.0004586385078964976
TRAPS learned,16.0,700.0,56.200371425229584,0.857547417484722,17.93645363782573,264.5769122897754,436.97119474316645,8.820945974483912e-05,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,700.0,56.100185712614795,0.8560187087423611,17.064721554267706,261.08649675041715,431.65039801735276,7.980039848499319e-05,0.0,0.0001555678767310421
Peppered tag,16.0,700.0,56.00982666015625,0.8546399425506592,16.292495317180965,257.99968024979273,426.9457523501874,7.29058910330606e-05,0.0,1.5258789062499998e-05
Adaptive tag,16.0,700.0,56.006666307471114,0.8545917195191249,16.265721714999884,257.8927471603904,426.7827901836544,7.267584640711821e-05,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,700.0,55.99783933105469,0.8544570308927308,16.191025453520318,257.5944439987868,426.3281925061015,7.20371614005348e-05,0.0001,5.340576171874997e-06
Global Bloom,16.0,725.0,58.305911884766964,0.889675332971688,41.25425446589327,359.7194829057533,582.3171250092335,0.0007243354908020768,0.0,0.0004586385078964976
TRAPS learned,16.0,725.0,58.20752754755921,0.8881741109663192,39.890351153216855,354.0802993962458,573.6896488820092,0.0006564656260289151,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,725.0,58.10376377377961,0.8865908054831597,38.488547487442375,348.29209064289347,564.8354745455732,0.0005917632025396857,0.0,0.0001555678767310421
Peppered tag,16.0,725.0,58.01017761230469,0.8851627976417542,37.255253194581044,343.2063697858507,557.0570230762603,0.0005388948118945689,0.0,1.5258789062499998e-05
