schema,method,represented_valid_test,invalid_test,valid_fnr,expected_invalid_forwards,invalid_forward_rate,backend_calls,backend_call_rate,flood_valid_share,flood_backend_call_rate,frontend_probes,saturation_attempts_per_sec,control
full_stable,Global Bloom,7015,140297,0.0,64.34560674235489,0.00045863850789649736,7079.345606742355,0.048056815512262104,0.08,0.08042194742726477,11.0,814.9040140051537,LANL-real
full_stable,Hash partition,7015,140297,0.0,64.17103111912995,0.0004573941789142316,7079.17103111913,0.0480556304382476,0.08,0.0804208026446011,11.0,814.915614088181,LANL-real
full_stable,Risk partition,7015,140297,0.0,55.88301249300391,0.00039831936886037416,7070.883012493004,0.047999368771675106,0.08,0.08036645381935155,11.705353642629564,815.4667110222668,LANL-real
full_stable,TRAPS learned,7015,140297,0.0,60.59723148399105,0.00043192107802726394,7075.597231483991,0.04803137036686754,0.08,0.08039736739178509,11.308445654575651,815.1531561129938,LANL-real
full_stable,Keyed tag,7015,140297,0.0,2.1407623291015625,1.52587890625e-05,7017.140762329102,0.04763454954334407,0.08,0.0800140380859375,1.0,819.0583720096926,LANL-real
full_stable,Adaptive tag,7015,140297,0.0,2.0160548167367813,1.436990681722903e-05,7017.016054816737,0.04763370298968676,0.08,0.08001322031427185,1.0,819.0667431604413,LANL-real
full_stable,Global Bloom,6572,140159,0.0,64.28231462826517,0.00045863850789649736,6636.282314628265,0.04522754097381102,0.08,0.08042194742726477,11.0,814.9040140051537,LANL-shuffled-accounts
full_stable,Hash partition,6572,140159,0.0,64.0995254561985,0.00045733435210153114,6636.0995254561985,0.04522629523042982,0.08,0.0804207476039334,11.0,814.9161718236018,LANL-shuffled-accounts
full_stable,Risk partition,6572,140159,0.0,56.05794727162262,0.00039995966917302935,6628.057947271623,0.04517149032768551,0.08,0.08036796289563919,11.736035502536405,815.4513989323168,LANL-shuffled-accounts
full_stable,TRAPS learned,6572,140159,0.0,61.09003995896374,0.0004358624131091385,6633.090039958964,0.04520578500766003,0.08,0.08040099342006041,11.301671672885794,815.1163932787669,LANL-shuffled-accounts
full_stable,Keyed tag,6572,140159,0.0,2.1386566162109375,1.52587890625e-05,6574.138656616211,0.04480401998634379,0.08,0.0800140380859375,1.0,819.0583720096926,LANL-shuffled-accounts
full_stable,Adaptive tag,6572,140159,0.0,2.032450432103464,1.4501034054919513e-05,6574.032450432103,0.04480329617076217,0.08,0.08001334095133053,1.0,819.0655082438439,LANL-shuffled-accounts
full_stable,Global Bloom,7311,140116,0.0,64.26259317242561,0.00045863850789649725,7375.262593172426,0.05002653919005627,0.08,0.08042194742726477,11.0,814.9040140051537,LANL-shuffled-times
full_stable,Hash partition,7311,140116,0.0,64.04820621437891,0.0004571084402522118,7375.048206214379,0.05002508499945315,0.08,0.08042053976503204,11.0,814.9182778935481,LANL-shuffled-times
full_stable,Risk partition,7311,140116,0.0,54.47510673634406,0.0003887857684800027,7365.475106736344,0.04996015049303278,0.08,0.0803576829070016,11.741314339547232,815.555717907333,LANL-shuffled-times
full_stable,TRAPS learned,7311,140116,0.0,60.29606685423139,0.000430329632977186,7371.296066854231,0.049999634170499505,0.08,0.08039590326233902,11.186566844614463,815.1680012691584,LANL-shuffled-times
full_stable,Keyed tag,7311,140116,0.0,2.13800048828125,1.52587890625e-05,7313.138000488281,0.04960514695739777,0.08,0.0800140380859375,1.0,819.0583720096926,LANL-shuffled-times
full_stable,Adaptive tag,7311,140116,0.0,2.0060351444252142,1.4316959836315725e-05,7313.006035144425,0.049604251834090264,0.08,0.08001317160304941,1.0,819.0672418001218,LANL-shuffled-times
full_stable,Global Bloom,7175,140057,0.0,64.23553350045972,0.0004586385078964973,7239.2355335004595,0.049168900330773604,0.08,0.08042194742726477,11.0,814.9040140051537,LANL-uniform-risk
full_stable,Hash partition,7175,140057,0.0,64.02424242024176,0.0004571299001138234,7239.0242424202415,0.04916746524138938,0.08,0.08042055950810471,11.0,814.918077832881,LANL-uniform-risk
full_stable,Risk partition,7175,140057,0.0,64.23553350045972,0.0004586385078964973,7239.2355335004595,0.049168900330773604,0.08,0.08042194742726477,11.0,814.9040140051537,LANL-uniform-risk
full_stable,TRAPS learned,7175,140057,0.0,63.95192960011717,0.0004566135901819771,7238.951929600117,0.04916697409258936,0.08,0.08042008450296742,11.0,814.9228911861102,LANL-uniform-risk
full_stable,Keyed tag,7175,140057,0.0,2.1371002197265625,1.52587890625e-05,7177.137100219727,0.048747127663957064,0.08,0.0800140380859375,1.0,819.0583720096926,LANL-uniform-risk
full_stable,Adaptive tag,7175,140057,0.0,2.1276647885141307,1.5191420553875427e-05,7177.127664788514,0.048747063578491866,0.08,0.08001397610690957,1.0,819.0590064543758,LANL-uniform-risk
