seed,method,method_kind,bits_per_key,N_keys,N_valid,N_events,N_invalid,N_invalid_unique,N_invalid_repeated,valid_forwarded,valid_rejected,valid_throttled,invalid_forwarded,invalid_forwarded_unique,invalid_forwarded_repeated,invalid_rejected_by_index,invalid_rejected_by_cache,invalid_throttled,raw_invalid_forward_rate,first_seen_invalid_forward_rate,replay_suppression_rate,backend_work_reduction,valid_rejection_rate,backend_invocations,probe_cost
0,No admission,backend-only,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1000000,500000,500000,0,0,0,1.0,1.0,0.0,0.0,0.0,1050000,0.0
0,Global Bloom,one-sided AMQ,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,21205,10609,10596,978795,0,0,0.021205,0.021218,0.0,0.9321857142857143,0.0,71205,6.0
0,GlobalBloom+NegCache,one-sided AMQ+cache,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,10609,10609,0,489391,500000,0,0.010609,0.021218,1.0,0.9422771428571428,0.0,60609,6.0
0,Hash partition,one-sided AMQ,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,21454,10778,10676,978546,0,0,0.021454,0.021556,0.0,0.9319485714285715,0.0,71454,6.0
0,Risk partition,one-sided AMQ,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,14852,7426,7426,985148,0,0,0.014852,0.014852,0.0,0.9382361904761904,0.0,64852,7.029636057414148
0,TRAPS learned,one-sided AMQ,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,14405,7205,7200,985595,0,0,0.014405,0.01441,0.0,0.9386619047619048,0.0,64405,6.990109539135507
0,TRAPS+ReplayCache,one-sided AMQ+cache,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,7205,7205,0,492795,500000,0,0.007205,0.01441,1.0,0.9455190476190476,0.0,57205,6.990109539135507
0,Oracle AMQ,oracle,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,13716,6819,6897,986284,0,0,0.013716,0.013638,0.0,0.9393180952380953,0.0,63716,6.784579106202729
0,Peppered tag,one-sided tag,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,3879,1945,1934,996121,0,0,0.003879,0.00389,0.0,0.9486866666666667,0.0,53879,1.0
0,Peppered tag-64,production upper bound,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,0,0,0,1000000,0,0,0.0,0.0,0.0,0.9523809523809523,0.0,50000,1.0
0,Adaptive tag,one-sided tag,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,2642,1359,1283,997358,0,0,0.002642,0.002718,0.0,0.9498647619047619,0.0,52642,1.0
0,Tag+NegCache,one-sided tag+cache,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1945,1945,0,498055,500000,0,0.001945,0.00389,1.0,0.9505285714285714,0.0,51945,1.0
0,NegCache only,exact cache,8.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,500000,500000,0,0,500000,0,0.5,1.0,1.0,0.47619047619047616,0.0,550000,0.0
0,RateLimit+Tag,operational,8.0,200000,50000,1050000,1000000,500000,500000,49993,0,7,1351,670,681,998649,0,0,0.001351,0.00134,0.0,0.9511009523809524,0.00014,51344,1.0
0,RateLimit+Tag+NegCache,operational,8.0,200000,50000,1050000,1000000,500000,500000,49994,0,6,670,670,0,499330,500000,0,0.00067,0.00134,1.0,0.9517485714285714,0.00012,50664,1.0
0,No admission,backend-only,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1000000,500000,500000,0,0,0,1.0,1.0,0.0,0.0,0.0,1050000,0.0
0,Global Bloom,one-sided AMQ,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,8199,4094,4105,991801,0,0,0.008199,0.008188,0.0,0.9445723809523809,0.0,58199,7.0
0,GlobalBloom+NegCache,one-sided AMQ+cache,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,4094,4094,0,495906,500000,0,0.004094,0.008188,1.0,0.9484819047619047,0.0,54094,7.0
0,Hash partition,one-sided AMQ,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,8390,4121,4269,991610,0,0,0.00839,0.008242,0.0,0.9443904761904762,0.0,58390,7.0
0,Risk partition,one-sided AMQ,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,5654,2820,2834,994346,0,0,0.005654,0.00564,0.0,0.9469961904761904,0.0,55654,8.029636057414148
0,TRAPS learned,one-sided AMQ,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,5669,2840,2829,994331,0,0,0.005669,0.00568,0.0,0.9469819047619048,0.0,55669,8.437789987679743
0,TRAPS+ReplayCache,one-sided AMQ+cache,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,2840,2840,0,497160,500000,0,0.00284,0.00568,1.0,0.9496761904761905,0.0,52840,8.437789987679743
0,Oracle AMQ,oracle,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,5310,2722,2588,994690,0,0,0.00531,0.005444,0.0,0.9473238095238096,0.0,55310,8.180592136598303
0,Peppered tag,one-sided tag,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,981,484,497,999019,0,0,0.000981,0.000968,0.0,0.9514466666666667,0.0,50981,1.0
0,Peppered tag-64,production upper bound,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,0,0,0,1000000,0,0,0.0,0.0,0.0,0.9523809523809523,0.0,50000,1.0
0,Adaptive tag,one-sided tag,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,646,328,318,999354,0,0,0.000646,0.000656,0.0,0.9517657142857143,0.0,50646,1.0
0,Tag+NegCache,one-sided tag+cache,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,484,484,0,499516,500000,0,0.000484,0.000968,1.0,0.95192,0.0,50484,1.0
0,NegCache only,exact cache,10.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,500000,500000,0,0,500000,0,0.5,1.0,1.0,0.47619047619047616,0.0,550000,0.0
0,RateLimit+Tag,operational,10.0,200000,50000,1050000,1000000,500000,500000,49998,0,2,332,161,171,999668,0,0,0.000332,0.000322,0.0,0.9520666666666666,4e-05,50330,1.0
0,RateLimit+Tag+NegCache,operational,10.0,200000,50000,1050000,1000000,500000,500000,49996,0,4,161,161,0,499839,500000,0,0.000161,0.000322,1.0,0.9522314285714286,8e-05,50157,1.0
0,No admission,backend-only,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1000000,500000,500000,0,0,0,1.0,1.0,0.0,0.0,0.0,1050000,0.0
0,Global Bloom,one-sided AMQ,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,3209,1583,1626,996791,0,0,0.003209,0.003166,0.0,0.9493247619047619,0.0,53209,8.0
0,GlobalBloom+NegCache,one-sided AMQ+cache,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1583,1583,0,498417,500000,0,0.001583,0.003166,1.0,0.9508733333333333,0.0,51583,8.0
0,Hash partition,one-sided AMQ,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,3147,1568,1579,996853,0,0,0.003147,0.003136,0.0,0.9493838095238095,0.0,53147,8.0
