method,request_rate,backend_rate,forward_fraction,p95_latency_ms,utilization
Backend only,25.0,25.0,1.0,122.07000000000001,0.38146875
Global Bloom,25.0,2.0105486856816195,0.08042194742726477,122.07000000000001,0.030678459757644414
Risk partition,25.0,2.0056666294089345,0.08022666517635738,122.07000000000001,0.03060396568149358
TRAPS learned,25.0,2.0053741540125807,0.08021496616050322,122.07000000000001,0.03059950287253947
Keyed tag,25.0,2.0003509521484375,0.0800140380859375,122.07000000000001,0.030522855091094973
Adaptive tag,25.0,2.0001787967670737,0.08000715187068294,122.07000000000001,0.030520228215169587
Backend only,50.0,50.0,1.0,252.89338797058812,0.7629375
Global Bloom,50.0,4.021097371363239,0.08042194742726477,122.07000000000001,0.06135691951528883
Risk partition,50.0,4.011333258817869,0.08022666517635738,122.07000000000001,0.06120793136298716
TRAPS learned,50.0,4.010748308025161,0.08021496616050322,122.07000000000001,0.06119900574507894
Keyed tag,50.0,4.000701904296875,0.0800140380859375,122.07000000000001,0.06104571018218995
Adaptive tag,50.0,4.000357593534147,0.08000715187068294,122.07000000000001,0.061040456430339174
Backend only,75.0,75.0,1.0,10000.0,1.14440625
Global Bloom,75.0,6.031646057044858,0.08042194742726477,122.07000000000001,0.09203537927293323
Risk partition,75.0,6.016999888226803,0.08022666517635738,122.07000000000001,0.09181189704448074
TRAPS learned,75.0,6.016122462037742,0.08021496616050322,122.07000000000001,0.0917985086176184
Keyed tag,75.0,6.0010528564453125,0.0800140380859375,122.07000000000001,0.09156856527328491
Adaptive tag,75.0,6.000536390301221,0.08000715187068294,122.07000000000001,0.09156068464550876
Backend only,100.0,100.0,1.0,10000.0,1.525875
Global Bloom,100.0,8.042194742726478,0.08042194742726477,122.07000000000001,0.12271383903057766
Risk partition,100.0,8.022666517635738,0.08022666517635738,122.07000000000001,0.12241586272597432
TRAPS learned,100.0,8.021496616050323,0.08021496616050322,122.07000000000001,0.12239801149015787
Keyed tag,100.0,8.00140380859375,0.0800140380859375,122.07000000000001,0.1220914203643799
Adaptive tag,100.0,8.000715187068295,0.08000715187068294,122.07000000000001,0.12208091286067835
Backend only,125.0,125.0,1.0,10000.0,1.9073437500000001
Global Bloom,125.0,10.052743428408096,0.08042194742726477,122.07000000000001,0.15339229878822205
Risk partition,125.0,10.028333147044671,0.08022666517635738,122.07000000000001,0.1530198284074679
TRAPS learned,125.0,10.026870770062903,0.08021496616050322,122.07000000000001,0.15299751436269732
Keyed tag,125.0,10.001754760742188,0.0800140380859375,122.07000000000001,0.15261427545547487
Adaptive tag,125.0,10.000893983835368,0.08000715187068294,122.07000000000001,0.15260114107584793
Backend only,150.0,150.0,1.0,10000.0,2.0
Global Bloom,150.0,12.063292114089716,0.08042194742726477,122.07000000000001,0.18407075854586646
Risk partition,150.0,12.033999776453607,0.08022666517635738,122.07000000000001,0.18362379408896148
TRAPS learned,150.0,12.032244924075483,0.08021496616050322,122.07000000000001,0.1835970172352368
Keyed tag,150.0,12.002105712890625,0.0800140380859375,122.07000000000001,0.18313713054656983
Adaptive tag,150.0,12.001072780602442,0.08000715187068294,122.07000000000001,0.18312136929101752
Backend only,175.0,175.0,1.0,10000.0,2.0
Global Bloom,175.0,14.073840799771336,0.08042194742726477,122.07000000000001,0.21474921830351087
Risk partition,175.0,14.03966640586254,0.08022666517635738,122.07000000000001,0.21422775977045505
TRAPS learned,175.0,14.037619078088063,0.08021496616050322,122.07000000000001,0.21419652010777626
Keyed tag,175.0,14.002456665039062,0.0800140380859375,122.07000000000001,0.2136599856376648
Adaptive tag,175.0,14.001251577369514,0.08000715187068294,122.07000000000001,0.21364159750618708
Backend only,200.0,200.0,1.0,10000.0,2.0
Global Bloom,200.0,16.084389485452956,0.08042194742726477,122.07000000000001,0.2454276780611553
Risk partition,200.0,16.045333035271476,0.08022666517635738,122.07000000000001,0.24483172545194865
TRAPS learned,200.0,16.042993232100645,0.08021496616050322,122.07000000000001,0.24479602298031575
Keyed tag,200.0,16.0028076171875,0.0800140380859375,122.07000000000001,0.2441828407287598
Adaptive tag,200.0,16.00143037413659,0.08000715187068294,122.07000000000001,0.2441618257213567
Backend only,225.0,225.0,1.0,10000.0,2.0
Global Bloom,225.0,18.094938171134572,0.08042194742726477,122.07000000000001,0.27610613781879967
Risk partition,225.0,18.05099966468041,0.08022666517635738,122.07000000000001,0.27543569113344224
TRAPS learned,225.0,18.048367386113224,0.08021496616050322,122.07000000000001,0.27539552585285515
Keyed tag,225.0,18.003158569335938,0.0800140380859375,122.07000000000001,0.27470569581985477
Adaptive tag,225.0,18.001609170903663,0.08000715187068294,122.07000000000001,0.2746820539365263
Backend only,250.0,250.0,1.0,10000.0,2.0
Global Bloom,250.0,20.105486856816192,0.08042194742726477,122.07000000000001,0.3067845975764441
Risk partition,250.0,20.056666294089343,0.08022666517635738,122.07000000000001,0.3060396568149358
TRAPS learned,250.0,20.053741540125806,0.08021496616050322,122.07000000000001,0.30599502872539464
Keyed tag,250.0,20.003509521484375,0.0800140380859375,122.07000000000001,0.30522855091094975
Adaptive tag,250.0,20.001787967670737,0.08000715187068294,122.07000000000001,0.30520228215169587
Backend only,275.0,275.0,1.0,10000.0,2.0
Global Bloom,275.0,22.116035542497812,0.08042194742726477,122.07000000000001,0.3374630573340885
Risk partition,275.0,22.06233292349828,0.08022666517635738,122.07000000000001,0.3366436224964294
TRAPS learned,275.0,22.059115694138384,0.08021496616050322,122.07000000000001,0.3365945315979341
Keyed tag,275.0,22.003860473632812,0.0800140380859375,122.07000000000001,0.33575140600204467
Adaptive tag,275.0,22.00196676443781,0.08000715187068294,122.07000000000001,0.33572251036686546
Backend only,300.0,300.0,1.0,10000.0,2.0
Global Bloom,300.0,24.126584228179432,0.08042194742726477,122.07000000000001,0.36814151709173293
Risk partition,300.0,24.067999552907214,0.08022666517635738,122.07000000000001,0.36724758817792297
TRAPS learned,300.0,24.064489848150966,0.08021496616050322,122.07000000000001,0.3671940344704736
Keyed tag,300.0,24.00421142578125,0.0800140380859375,122.07000000000001,0.36627426109313965
Adaptive tag,300.0,24.002145561204884,0.08000715187068294,122.07000000000001,0.36624273858203504
Backend only,325.0,325.0,1.0,10000.0,2.0
Global Bloom,325.0,26.137132913861052,0.08042194742726477,122.07000000000001,0.39881997684937737
Risk partition,325.0,26.073666182316146,0.08022666517635738,122.07000000000001,0.3978515538594165
TRAPS learned,325.0,26.06986400216355,0.08021496616050322,122.07000000000001,0.3977935373430131
Keyed tag,325.0,26.004562377929688,0.0800140380859375,122.07000000000001,0.39679711618423463
Adaptive tag,325.0,26.002324357971954,0.08000715187068294,122.07000000000001,0.3967629667972046
Backend only,350.0,350.0,1.0,10000.0,2.0
Global Bloom,350.0,28.147681599542672,0.08042194742726477,122.07000000000001,0.42949843660702175
Risk partition,350.0,28.07933281172508,0.08022666517635738,122.07000000000001,0.4284555195409101
TRAPS learned,350.0,28.075238156176127,0.08021496616050322,122.07000000000001,0.4283930402155525
Keyed tag,350.0,28.004913330078125,0.0800140380859375,122.07000000000001,0.4273199712753296
Adaptive tag,350.0,28.002503154739028,0.08000715187068294,122.07000000000001,0.42728319501237416
Backend only,375.0,375.0,1.0,10000.0,2.0
Global Bloom,375.0,30.15823028522429,0.08042194742726477,122.07000000000001,0.46017689636466613
Risk partition,375.0,30.084999441134016,0.08022666517635738,122.07000000000001,0.4590594852224037
TRAPS learned,375.0,30.08061231018871,0.08021496616050322,122.07000000000001,0.458992543088092
Keyed tag,375.0,30.005264282226562,0.0800140380859375,122.07000000000001,0.4578428263664246
Adaptive tag,375.0,30.0026819515061,0.08000715187068294,122.07000000000001,0.45780342322754375
Backend only,400.0,400.0,1.0,10000.0,2.0
Global Bloom,400.0,32.16877897090591,0.08042194742726477,124.30712487290474,0.4908553561223106
Risk partition,400.0,32.09066607054295,0.08022666517635738,123.93930434540611,0.4896634509038973
TRAPS learned,400.0,32.08598646420129,0.08021496616050322,123.91728195432435,0.4895920459606315
