seed,bits_per_key,method,raw_invalid_forward_rate,first_seen_invalid_forward_rate,backend_invocations,p95_queue_delay_ms,p99_queue_delay_ms,worker_utilization,cap_exhaustions,cap_violations,valid_rejects,memory_bits_per_key,probe_cost
0,12.0,TRAPS full,0.00104785155509506,0.00209570311019012,51024,1.4210854715202004e-14,0.0,0.21626735000000002,0,0,0,16.0,9.924883810809046
0,12.0,No learned router,0.003134028105931708,0.003134028105931708,53183,1.4210854715202004e-14,0.0,0.22541836145833333,0,0,0,12.0,8.0
0,12.0,No region allocation,0.003134028105931708,0.003134028105931708,53204,1.4210854715202004e-14,0.0,0.22550737083333333,0,0,0,12.0,8.0
0,12.0,No false-forward cap,0.000890673821830801,0.001781347643661602,50866,1.4210854715202004e-14,0.0,0.2155976604166667,3,2,0,12.0,9.924883810809046
0,12.0,No replay cache,0.00209570311019012,0.00209570311019012,52103,1.4210854715202004e-14,0.0,0.22084073645833335,0,0,0,12.0,9.924883810809046
0,12.0,Oracle allocation,0.0009911294241243273,0.0019822588482486547,51005,1.4210854715202004e-14,0.0,0.21618681770833337,0,0,0,12.0,9.505618821970675
1,12.0,TRAPS full,0.0010337951187211363,0.0020675902374422727,51032,1.4210854715202004e-14,0.0,0.21630125833333336,0,0,0,16.0,9.723353460022986
1,12.0,No learned router,0.003134028105931708,0.003134028105931708,53007,1.4210854715202004e-14,0.0,0.22467237812500002,0,0,0,12.0,8.0
1,12.0,No region allocation,0.003134028105931708,0.003134028105931708,53068,1.4210854715202004e-14,0.0,0.22493092916666668,0,0,0,12.0,8.0
1,12.0,No false-forward cap,0.0008787258509129659,0.0017574517018259317,50942,1.4210854715202004e-14,0.0,0.21591978958333335,3,2,0,12.0,9.723353460022986
1,12.0,No replay cache,0.0020675902374422727,0.0020675902374422727,52025,1.4210854715202004e-14,0.0,0.22051013020833335,0,0,0,12.0,9.723353460022986
1,12.0,Oracle allocation,0.000991722458912216,0.001983444917824432,51023,1.4210854715202004e-14,0.0,0.21626311145833335,0,0,0,12.0,9.51607380467992
2,12.0,TRAPS full,0.0010360232821241921,0.0020720465642483843,51036,1.4210854715202004e-14,0.0,0.2163182125,0,0,0,16.0,9.868520376720353
