method,method_kind,bits_per_key,n_seeds,total_invalid,total_events,total_valid,total_unique_invalid,total_repeated_invalid,total_invalid_forwarded,mean_raw_invalid_forward_rate,median_raw_invalid_forward_rate,ci95_raw_lo,ci95_raw_hi,mean_first_seen_invalid_forward_rate,median_first_seen_invalid_forward_rate,ci95_first_seen_lo,ci95_first_seen_hi,zero_event_upper_95,mean_valid_rejection_rate,mean_backend_invocations,mean_backend_work_reduction
No admission,backend-only,24.0,30,30000000,31500000,1500000,15000000,15000000,30000000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1050000.0,0.0
Oracle AMQ,oracle,24.0,30,30000000,31500000,1500000,15000000,15000000,198,6.6e-06,6.5000000000000004e-06,1.725e-06,1.0824999999999995e-05,6.533333333333333e-06,6e-06,0.0,1.2549999999999997e-05,,0.0,50006.6,0.9523746666666667
Peppered tag,one-sided tag,24.0,30,30000000,31500000,1500000,15000000,15000000,4,1.3333333333333334e-07,0.0,0.0,1e-06,1.3333333333333334e-07,0.0,0.0,2e-06,,0.0,50000.13333333333,0.9523808253968256
Peppered tag-64,production upper bound,24.0,30,30000000,31500000,1500000,15000000,15000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.985773741227888e-08,0.0,50000.0,0.9523809523809523
RateLimit+Tag,operational,24.0,30,30000000,31500000,1500000,15000000,15000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.985773741227888e-08,0.00010533333333333334,49994.73333333333,0.9523859682539686
RateLimit+Tag+NegCache,operational,24.0,30,30000000,31500000,1500000,15000000,15000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.985773741227888e-08,0.00010866666666666666,49994.566666666666,0.952386126984127
Risk partition,one-sided AMQ,24.0,30,30000000,31500000,1500000,15000000,15000000,220,7.333333333333334e-06,7.499999999999999e-06,4e-06,1.4e-05,7.066666666666666e-06,6e-06,2e-06,1.6e-05,,0.0,50007.333333333336,0.952373968253968
TRAPS learned,one-sided AMQ,24.0,30,30000000,31500000,1500000,15000000,15000000,192,6.4000000000000006e-06,6e-06,1.725e-06,1.2099999999999994e-05,6.999999999999999e-06,6e-06,1.45e-06,1.4549999999999996e-05,,0.0,50006.4,0.9523748571428572
TRAPS+ReplayCache,one-sided AMQ+cache,24.0,30,30000000,31500000,1500000,15000000,15000000,105,3.4999999999999995e-06,3e-06,7.25e-07,7.274999999999998e-06,6.999999999999999e-06,6e-06,1.45e-06,1.4549999999999996e-05,,0.0,50003.5,0.952377619047619
Tag+NegCache,one-sided tag+cache,24.0,30,30000000,31500000,1500000,15000000,15000000,2,6.666666666666667e-08,0.0,0.0,1e-06,1.3333333333333334e-07,0.0,0.0,2e-06,,0.0,50000.066666666666,0.9523808888888889
