seed,bits_per_key,target_skew,risk_drift,replay_fraction,occupancy_injection,epoch_id,method,adaptation_mode,monitor_window_events,test_window_events,total_bits,region_bits_json,region_key_counts_json,region_query_counts_json,region_negative_counts_json,region_backend_invalid_counts_json,raw_invalid,unique_invalid,repeated_invalid,raw_invalid_forwarded,first_seen_invalid_forwarded,raw_invalid_forward_rate,first_seen_invalid_forward_rate,valid_attempts,valid_rejects,cap_violations,replay_hits,backend_calls,frontend_probes,rebuild_regions,rebuild_keys,rebuild_bytes,dual_query_fraction,drift_metric,fallback_triggered,uses_future_labels
3,12.0,0.4,0.0,0.5,0.0,1,TRAPS-dynamic-next-epoch,observed-next-epoch-allocation,200000,1050000,2400000,"[9.31550095,11.53152167,11.38305301,10.05888763,11.63569083,11.86105394,12.61624085,12.11064015,12.58890909,13.13554411,13.58202489,13.71631107,12.85802279,13.93514027,13.57897084,14.48855642]","[19671,15423,15188,17634,13850,16346,13136,14753,13571,10631,11442,9546,9142,6503,7160,6002]","[4438,10089,9250,5685,9525,12528,14469,12748,14753,15032,20048,17839,11311,13499,12529,16257]","[10913,25354,23557,14314,23858,31223,36532,31671,37384,37113,49785,44912,28221,33940,30796,40427]","[124,100,99,114,89,105,85,94,88,67,73,62,59,42,45,38]",1000000,500000,500000,1284,1284,0.001284,0.002568,50000,0,0,500000,51284,9286718.531193355,16,200000,300000.0,0.1,1.126379240846189e-05,false,false
3,12.0,0.4,0.0,0.5,0.0,1,TRAPS-drift-guard,global-fallback-if-outside-validation-envelope,200000,1050000,2400000,"[9.31550095,11.53152167,11.38305301,10.05888763,11.63569083,11.86105394,12.61624085,12.11064015,12.58890909,13.13554411,13.58202489,13.71631107,12.85802279,13.93514027,13.57897084,14.48855642]","[19671,15423,15188,17634,13850,16346,13136,14753,13571,10631,11442,9546,9142,6503,7160,6002]","[4438,10089,9250,5685,9525,12528,14469,12748,14753,15032,20048,17839,11311,13499,12529,16257]","[10913,25354,23557,14314,23858,31223,36532,31671,37384,37113,49785,44912,28221,33940,30796,40427]","[124,100,99,114,89,105,85,94,88,67,73,62,59,42,45,38]",1000000,500000,500000,1284,1284,0.001284,0.002568,50000,0,0,500000,51284,9286718.531193355,16,200000,300000.0,0.1,1.126379240846189e-05,false,false
4,12.0,0.4,0.0,0.5,0.0,1,TRAPS-frozen,frozen-validation-allocation,200000,1050000,2400000,"[10.76922396,10.7025384,10.88525888,11.01847132,10.9431511,11.55129987,12.15838067,12.1796793,13.13523765,12.46109402,13.0161181,13.34020449,13.46009167,13.71311541,14.52511698,14.99512191]","[15170,18882,16128,18771,19120,12079,12141,16982,9299,11210,11426,9475,8645,8705,6763,5201]","[7008,8403,8006,9463,9455,8138,10915,15365,13387,11463,15394,15085,14491,16393,18890,18144]","[17411,20988,19572,24285,23857,20186,27162,38382,33262,29004,38598,37401,36149,41103,47173,45466]","[99,123,105,122,124,78,79,110,60,73,74,62,56,57,44,34]",1000000,500000,500000,1300,1300,0.0013,0.0026,50000,0,0,500000,51300,9247350.02539559,0,0,0,0.0,9.825269033624929e-06,false,false
4,12.0,0.4,0.0,0.5,0.0,1,TRAPS-dynamic-next-epoch,observed-next-epoch-allocation,200000,1050000,2400000,"[10.78284315,10.70521519,10.93215178,10.96533776,10.92484071,11.56826168,12.16866273,12.18206795,13.14869515,12.43706561,13.01084036,13.35807593,13.46534334,13.70784232,14.52815231,14.99106437]","[15170,18882,16128,18771,19120,12079,12141,16982,9299,11210,11426,9475,8645,8705,6763,5201]","[7008,8403,8006,9463,9455,8138,10915,15365,13387,11463,15394,15085,14491,16393,18890,18144]","[17411,20988,19572,24285,23857,20186,27162,38382,33262,29004,38598,37401,36149,41103,47173,45466]","[98,123,102,125,125,78,79,110,60,74,74,61,56,57,44,34]",1000000,500000,500000,1300,1300,0.0013,0.0026,50000,0,0,500000,51300,9247350.02539559,16,200000,300000.0,0.1,9.825269033624929e-06,false,false
4,12.0,0.4,0.0,0.5,0.0,1,TRAPS-drift-guard,global-fallback-if-outside-validation-envelope,200000,1050000,2400000,"[10.78284315,10.70521519,10.93215178,10.96533776,10.92484071,11.56826168,12.16866273,12.18206795,13.14869515,12.43706561,13.01084036,13.35807593,13.46534334,13.70784232,14.52815231,14.99106437]","[15170,18882,16128,18771,19120,12079,12141,16982,9299,11210,11426,9475,8645,8705,6763,5201]","[7008,8403,8006,9463,9455,8138,10915,15365,13387,11463,15394,15085,14491,16393,18890,18144]","[17411,20988,19572,24285,23857,20186,27162,38382,33262,29004,38598,37401,36149,41103,47173,45466]","[98,123,102,125,125,78,79,110,60,74,74,61,56,57,44,34]",1000000,500000,500000,1300,1300,0.0013,0.0026,50000,0,0,500000,51300,9247350.02539559,16,200000,300000.0,0.1,9.825269033624929e-06,false,false
5,12.0,0.4,0.0,0.5,0.0,1,TRAPS-frozen,frozen-validation-allocation,200000,1050000,2400000,"[9.5144799,10.66333896,11.21196753,10.44127682,11.74565356,11.89351548,13.00384011,12.82166881,12.59552825,12.7674709,12.66796932,14.23016163,12.981827,14.07911183,14.37937919,14.7297991]","[23220,13052,19416,14851,14982,17207,10243,11281,11628,10632,13215,9154,12945,7409,6057,4706]","[5589,5538,10640,5670,10678,13097,13137,13420,12383,12307,14623,21179,16562,16122,15004,14051]","[14053,13718,26562,14029,26486,32660,33145,33444,30924,30710,36389,53393,41448,40191,37953,34894]","[145,82,122,93,94,108,64,71,73,67,83,57,81,46,38,29]",1000000,500000,500000,1252,1252,0.001252,0.002504,50000,0,0,500000,51252,9443957.04612106,0,0,0,0.0,4.885058255988241e-06,false,false
5,12.0,0.4,0.0,0.5,0.0,1,TRAPS-dynamic-next-epoch,observed-next-epoch-allocation,200000,1050000,2400000,"[9.50006158,10.67962204,11.21227756,10.45995101,11.75923544,11.89605741,12.98230751,12.8255632,12.59509459,12.76868207,12.67483488,14.21024977,12.97707295,14.08233571,14.35253712,14.7409069]","[23220,13052,19416,14851,14982,17207,10243,11281,11628,10632,13215,9154,12945,7409,6057,4706]","[5589,5538,10640,5670,10678,13097,13137,13420,12383,12307,14623,21179,16562,16122,15004,14051]","[14053,13718,26562,14029,26486,32660,33145,33444,30924,30710,36389,53393,41448,40191,37953,34894]","[146,81,122,92,93,108,65,70,73,67,82,58,81,46,38,29]",1000000,500000,500000,1252,1252,0.001252,0.002504,50000,0,0,500000,51252,9443957.04612106,16,200000,300000.0,0.1,4.885058255988241e-06,false,false
5,12.0,0.4,0.0,0.5,0.0,1,TRAPS-drift-guard,global-fallback-if-outside-validation-envelope,200000,1050000,2400000,"[9.50006158,10.67962204,11.21227756,10.45995101,11.75923544,11.89605741,12.98230751,12.8255632,12.59509459,12.76868207,12.67483488,14.21024977,12.97707295,14.08233571,14.35253712,14.7409069]","[23220,13052,19416,14851,14982,17207,10243,11281,11628,10632,13215,9154,12945,7409,6057,4706]","[5589,5538,10640,5670,10678,13097,13137,13420,12383,12307,14623,21179,16562,16122,15004,14051]","[14053,13718,26562,14029,26486,32660,33145,33444,30924,30710,36389,53393,41448,40191,37953,34894]","[146,81,122,92,93,108,65,70,73,67,82,58,81,46,38,29]",1000000,500000,500000,1252,1252,0.001252,0.002504,50000,0,0,500000,51252,9443957.04612106,16,200000,300000.0,0.1,4.885058255988241e-06,false,false
6,12.0,0.4,0.0,0.5,0.0,1,TRAPS-frozen,frozen-validation-allocation,200000,1050000,2400000,"[9.95667137,10.16254851,11.16823692,11.27848306,12.04021016,11.15914588,11.86717394,12.20855893,12.88309551,13.67191132,13.19966086,13.4229894,13.23282765,13.18856787,13.16753795,14.22448149]","[14862,18305,17106,16555,15529,15423,13995,11955,11375,12395,11606,10029,9551,8185,7367,5762]","[4757,6355,9596,9912,13374,8784,11315,11419,14743,23438,17367,16931,14508,12480,10889,14132]","[11806,16053,24322,24817,33567,21833,27839,28019,36864,58681,43790,42127,36616,30721,27370,35574]","[99,122,114,110,103,102,93,79,76,82,77,67,63,54,49,38]",1000000,500000,500000,1329,1329,0.001329,0.002658,50000,0,0,500000,51329,9070864.395725897,0,0,0,0.0,1.0468533711548828e-05,false,false
6,12.0,0.4,0.0,0.5,0.0,1,TRAPS-dynamic-next-epoch,observed-next-epoch-allocation,200000,1050000,2400000,"[9.97146282,10.14100662,11.13975081,11.2751766,12.03188552,11.17095117,11.89991338,12.246889,12.88252859,13.66869696,13.18184963,13.43259232,13.21304513,13.22025409,13.15621153,14.21007738]","[14862,18305,17106,16555,15529,15423,13995,11955,11375,12395,11606,10029,9551,8185,7367,5762]","[4757,6355,9596,9912,13374,8784,11315,11419,14743,23438,17367,16931,14508,12480,10889,14132]","[11806,16053,24322,24817,33567,21833,27839,28019,36864,58681,43790,42127,36616,30721,27370,35574]","[98,123,115,110,104,102,92,78,76,82,78,66,64,54,49,39]",1000000,500000,500000,1329,1329,0.001329,0.002658,50000,0,0,500000,51329,9070864.395725897,16,200000,300000.0,0.1,1.0468533711548828e-05,false,false
