seed,target_zipf_alpha,risk_shift,bits_per_key,method,first_seen_invalid_forward_rate,probe_cost,backend_reduction,amq_rank,valid_rejects
0,0.4,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
0,0.4,0.0,12.0,Risk partition,0.0025007368549575786,8.880194470269572,0.9068175119500386,3,0
0,0.4,0.0,12.0,TRAPS learned,0.002357665036715927,9.13111007856949,0.9069475772393492,1,0
0,0.4,0.0,12.0,Oracle AMQ,0.002357665036715927,9.13111007856949,0.9069475772393492,2,0
0,0.4,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
0,0.4,0.0,12.0,Adaptive tag,0.0001836619826462454,1.0,0.9089239436521398,,0
1,0.4,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
1,0.4,0.0,12.0,Risk partition,0.002502463466739752,9.102142541673881,0.9068159423029638,3,0
1,0.4,0.0,12.0,TRAPS learned,0.0024342465738625262,9.057346961660105,0.9068779576601249,1,0
1,0.4,0.0,12.0,Oracle AMQ,0.0024342465738625262,9.057346961660105,0.9068779576601249,2,0
1,0.4,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
1,0.4,0.0,12.0,Adaptive tag,0.00018962768037149698,1.0,0.9089185202905714,,0
2,0.4,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
2,0.4,0.0,12.0,Risk partition,0.002758744834412913,8.914607375686728,0.9065829592414428,3,0
2,0.4,0.0,12.0,TRAPS learned,0.002497835785455356,8.892253034443232,0.9068201492859497,1,0
2,0.4,0.0,12.0,Oracle AMQ,0.002497835785455356,8.892253034443232,0.9068201492859497,2,0
2,0.4,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
2,0.4,0.0,12.0,Adaptive tag,0.0001945812766178573,1.0,0.9089140170212565,,0
3,0.4,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
3,0.4,0.0,12.0,Risk partition,0.0027004160652117693,8.45687841469271,0.906635985395262,3,0
3,0.4,0.0,12.0,TRAPS learned,0.002568722697743593,8.844493839231767,0.9067557066384149,1,0
3,0.4,0.0,12.0,Oracle AMQ,0.002568722697743593,8.844493839231767,0.9067557066384149,2,0
3,0.4,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
3,0.4,0.0,12.0,Adaptive tag,0.00020010336336545673,1.0,0.908908996942395,,0
4,0.4,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
4,0.4,0.0,12.0,Risk partition,0.0026487589067484747,8.79158438324586,0.9066829464484105,3,0
4,0.4,0.0,12.0,TRAPS learned,0.0025990117288966054,8.807000024186276,0.9067281711555486,1,0
4,0.4,0.0,12.0,Oracle AMQ,0.0025990117288966054,8.807000024186276,0.9067281711555486,2,0
4,0.4,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
4,0.4,0.0,12.0,Adaptive tag,0.0002024628773029181,1.0,0.9089068519297246,,0
5,0.4,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
5,0.4,0.0,12.0,Risk partition,0.0026255771470985395,8.78405154030402,0.9067040207753649,3,0
5,0.4,0.0,12.0,TRAPS learned,0.0025042936069657696,8.994244805829581,0.906814278539122,1,0
5,0.4,0.0,12.0,Oracle AMQ,0.0025042936069657696,8.994244805829581,0.906814278539122,2,0
5,0.4,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
5,0.4,0.0,12.0,Adaptive tag,0.00019508434057465663,1.0,0.9089135596903867,,0
6,0.4,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
6,0.4,0.0,12.0,Risk partition,0.002720725144820505,8.469491337551942,0.9066175225956177,3,0
6,0.4,0.0,12.0,TRAPS learned,0.0026579751891120376,8.6389184721199,0.9066745680098982,1,0
6,0.4,0.0,12.0,Oracle AMQ,0.0026579751891120376,8.6389184721199,0.9066745680098982,2,0
6,0.4,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
6,0.4,0.0,12.0,Adaptive tag,0.00020705612775970633,1.0,0.9089026762474912,,0
7,0.4,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
7,0.4,0.0,12.0,Risk partition,0.0027071051874535167,8.456991175422989,0.9066299043750423,3,0
7,0.4,0.0,12.0,TRAPS learned,0.002612483855108906,8.883742933404008,0.9067159237680829,1,0
7,0.4,0.0,12.0,Oracle AMQ,0.002612483855108906,8.883742933404008,0.9067159237680829,2,0
7,0.4,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
7,0.4,0.0,12.0,Adaptive tag,0.0002035123552279325,1.0,0.9089058978588838,,0
8,0.4,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
8,0.4,0.0,12.0,Risk partition,0.002635064022062821,9.042548015164876,0.9066953963435792,3,0
8,0.4,0.0,12.0,TRAPS learned,0.0025360015955384796,8.889303695027454,0.906785453094965,1,0
8,0.4,0.0,12.0,Oracle AMQ,0.0025360015955384796,8.889303695027454,0.906785453094965,2,0
8,0.4,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
8,0.4,0.0,12.0,Adaptive tag,0.0001975543912206553,1.0,0.9089113141897994,,0
9,0.4,0.0,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
9,0.4,0.0,12.0,Risk partition,0.002752328343058794,8.89055181502413,0.9065887924154011,3,0
9,0.4,0.0,12.0,TRAPS learned,0.0026463138225820597,8.791251729660425,0.9066851692521981,1,0
9,0.4,0.0,12.0,Oracle AMQ,0.0026463138225820597,8.791251729660425,0.9066851692521981,2,0
9,0.4,0.0,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
9,0.4,0.0,12.0,Adaptive tag,0.0002061477079189289,1.0,0.9089035020837101,,0
0,0.4,0.25,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
0,0.4,0.25,12.0,Risk partition,0.002951200205575169,8.574099175580882,0.9064079998131135,3,0
0,0.4,0.25,12.0,TRAPS learned,0.0028950004120887585,8.662633848379496,0.9064590905344647,2,0
0,0.4,0.25,12.0,Oracle AMQ,0.0028454801789459623,8.603432620114209,0.906504108928231,1,0
0,0.4,0.25,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
0,0.4,0.25,12.0,Adaptive tag,0.00022552038019215157,1.0,0.9088858905634617,,0
1,0.4,0.25,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
1,0.4,0.25,12.0,Risk partition,0.0027542995575601113,8.722881672387999,0.9065870004022181,3,0
1,0.4,0.25,12.0,TRAPS learned,0.002718729673601224,8.840404008965857,0.9066193366603625,2,0
1,0.4,0.25,12.0,Oracle AMQ,0.00267613440634979,8.79326562526437,0.9066580596305911,1,0
1,0.4,0.25,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
1,0.4,0.25,12.0,Adaptive tag,0.00021178889891343972,1.0,0.9088983737282605,,0
2,0.4,0.25,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
2,0.4,0.25,12.0,Risk partition,0.002738284137629229,8.751393072173567,0.9066015598748826,3,0
2,0.4,0.25,12.0,TRAPS learned,0.00267576853123213,9.025337607512352,0.9066583922443344,2,0
2,0.4,0.25,12.0,Oracle AMQ,0.0026476249448802412,8.793754907014435,0.9066839773228361,1,0
2,0.4,0.25,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
2,0.4,0.25,12.0,Adaptive tag,0.00020844222817719028,1.0,0.9089014161562026,,0
3,0.4,0.25,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
3,0.4,0.25,12.0,Risk partition,0.0028134500307903506,8.898293343635183,0.9065332272447361,3,0
3,0.4,0.25,12.0,TRAPS learned,0.002750283132012644,8.750971720380548,0.9065906516981703,2,0
3,0.4,0.25,12.0,Oracle AMQ,0.0027246075883787606,8.595333994050723,0.9066139931014738,1,0
3,0.4,0.25,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
3,0.4,0.25,12.0,Adaptive tag,0.00021424691166798242,1.0,0.9088961391712109,,0
4,0.4,0.25,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
4,0.4,0.25,12.0,Risk partition,0.0027956741790963802,8.747453431252438,0.9065493871099124,3,0
4,0.4,0.25,12.0,TRAPS learned,0.0027369056460196124,8.935619436264583,0.9066028130490731,2,0
4,0.4,0.25,12.0,Oracle AMQ,0.002658104198857573,8.939331203477574,0.9066744507283113,1,0
4,0.4,0.25,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
4,0.4,0.25,12.0,Adaptive tag,0.00021320480621108307,1.0,0.908897086539808,,0
5,0.4,0.25,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
5,0.4,0.25,12.0,Risk partition,0.002726748866802642,8.751166960999182,0.9066120464847248,3,0
5,0.4,0.25,12.0,TRAPS learned,0.0026519570824737214,9.07532957645838,0.906680039015933,2,0
5,0.4,0.25,12.0,Oracle AMQ,0.0025928574487609785,8.888832816189769,0.9067337659556718,1,0
5,0.4,0.25,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
5,0.4,0.25,12.0,Adaptive tag,0.00020658731756837006,1.0,0.9089031024385742,,0
6,0.4,0.25,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
6,0.4,0.25,12.0,Risk partition,0.002874364635274661,8.396825191263122,0.9064778503315685,3,0
6,0.4,0.25,12.0,TRAPS learned,0.0028272585076159103,8.728854300272065,0.9065206740839855,2,0
6,0.4,0.25,12.0,Oracle AMQ,0.0027822237495574564,8.69531702751026,0.9065616147731296,1,0
6,0.4,0.25,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
6,0.4,0.25,12.0,Adaptive tag,0.00022024328938834257,1.0,0.9088906879187378,,0
7,0.4,0.25,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
7,0.4,0.25,12.0,Risk partition,0.0028262695134275307,8.425156166909328,0.9065215731696113,3,0
7,0.4,0.25,12.0,TRAPS learned,0.0027874431011477513,8.779497172854676,0.9065568699080475,2,0
